species_id,canonical_scientific,primary_common,n_prompts,prompts
1396710,Taxus baccata,Canada yew,19,"[""a photo of Taxus baccata"", ""a close-up photo of Taxus baccata"", ""a wild plant of species Taxus baccata"", ""a photo of Canada yew"", ""a close-up photo of Canada yew"", ""a wild plant called Canada yew"", ""a photo of Common yew"", ""a close-up photo of Common yew"", ""a wild plant called Common yew"", ""a photo of English yew"", ""a close-up photo of English yew"", ""a wild plant called English yew"", ""a photo of European yew"", ""a close-up photo of European yew"", ""a wild plant called European yew"", ""a photo of Taxus baccata (Canada yew)"", ""a close-up photo of Taxus baccata (Canada yew)"", ""a photo of Taxus baccata, a plant in the family Taxaceae"", ""a close-up photo of Taxus baccata, a plant in the family Taxaceae""]"
1356382,Dryopteris filix-mas,Common male fern,13,"[""a photo of Dryopteris filix-mas"", ""a close-up photo of Dryopteris filix-mas"", ""a wild plant of species Dryopteris filix-mas"", ""a photo of Common male fern"", ""a close-up photo of Common male fern"", ""a wild plant called Common male fern"", ""a photo of Male fern"", ""a close-up photo of Male fern"", ""a wild plant called Male fern"", ""a photo of Dryopteris filix-mas (Common male fern)"", ""a close-up photo of Dryopteris filix-mas (Common male fern)"", ""a photo of Dryopteris filix-mas, a plant in the family Polypodiaceae"", ""a close-up photo of Dryopteris filix-mas, a plant in the family Polypodiaceae""]"
1359825,Roemeria hybrida,Violet horned-poppy,13,"[""a photo of Roemeria hybrida"", ""a close-up photo of Roemeria hybrida"", ""a wild plant of species Roemeria hybrida"", ""a photo of Violet horned-poppy"", ""a close-up photo of Violet horned-poppy"", ""a wild plant called Violet horned-poppy"", ""a photo of Wind-rose"", ""a close-up photo of Wind-rose"", ""a wild plant called Wind-rose"", ""a photo of Roemeria hybrida (Violet horned-poppy)"", ""a close-up photo of Roemeria hybrida (Violet horned-poppy)"", ""a photo of Roemeria hybrida, a plant in the family Papaveraceae"", ""a close-up photo of Roemeria hybrida, a plant in the family Papaveraceae""]"
1360335,Rosa corymbifera,,5,"[""a photo of Rosa corymbifera"", ""a close-up photo of Rosa corymbifera"", ""a wild plant of species Rosa corymbifera"", ""a photo of Rosa corymbifera, a plant in the family Rosaceae"", ""a close-up photo of Rosa corymbifera, a plant in the family Rosaceae""]"
1363993,Potentilla reptans,Creeping cinquefoil,16,"[""a photo of Potentilla reptans"", ""a close-up photo of Potentilla reptans"", ""a wild plant of species Potentilla reptans"", ""a photo of Creeping cinquefoil"", ""a close-up photo of Creeping cinquefoil"", ""a wild plant called Creeping cinquefoil"", ""a photo of European fivefinger"", ""a close-up photo of European fivefinger"", ""a wild plant called European fivefinger"", ""a photo of European five-finger"", ""a close-up photo of European five-finger"", ""a wild plant called European five-finger"", ""a photo of Potentilla reptans (Creeping cinquefoil)"", ""a close-up photo of Potentilla reptans (Creeping cinquefoil)"", ""a photo of Potentilla reptans, a plant in the family Rosaceae"", ""a close-up photo of Potentilla reptans, a plant in the family Rosaceae""]"
1361747,Saponaria ocymoides,Rock soapwort,10,"[""a photo of Saponaria ocymoides"", ""a close-up photo of Saponaria ocymoides"", ""a wild plant of species Saponaria ocymoides"", ""a photo of Rock soapwort"", ""a close-up photo of Rock soapwort"", ""a wild plant called Rock soapwort"", ""a photo of Saponaria ocymoides (Rock soapwort)"", ""a close-up photo of Saponaria ocymoides (Rock soapwort)"", ""a photo of Saponaria ocymoides, a plant in the family Caryophyllaceae"", ""a close-up photo of Saponaria ocymoides, a plant in the family Caryophyllaceae""]"
1356079,Rumex crispus,Curled dock,16,"[""a photo of Rumex crispus"", ""a close-up photo of Rumex crispus"", ""a wild plant of species Rumex crispus"", ""a photo of Curled dock"", ""a close-up photo of Curled dock"", ""a wild plant called Curled dock"", ""a photo of Curly dock"", ""a close-up photo of Curly dock"", ""a wild plant called Curly dock"", ""a photo of Narrowleaf dock"", ""a close-up photo of Narrowleaf dock"", ""a wild plant called Narrowleaf dock"", ""a photo of Rumex crispus (Curled dock)"", ""a close-up photo of Rumex crispus (Curled dock)"", ""a photo of Rumex crispus, a plant in the family Polygonaceae"", ""a close-up photo of Rumex crispus, a plant in the family Polygonaceae""]"
1360450,Salix alba,Ak söğüt,16,"[""a photo of Salix alba"", ""a close-up photo of Salix alba"", ""a wild plant of species Salix alba"", ""a photo of Ak s\u00f6\u011f\u00fct"", ""a close-up photo of Ak s\u00f6\u011f\u00fct"", ""a wild plant called Ak s\u00f6\u011f\u00fct"", ""a photo of Cricket-bat willow"", ""a close-up photo of Cricket-bat willow"", ""a wild plant called Cricket-bat willow"", ""a photo of European willow"", ""a close-up photo of European willow"", ""a wild plant called European willow"", ""a photo of Salix alba (Ak s\u00f6\u011f\u00fct)"", ""a close-up photo of Salix alba (Ak s\u00f6\u011f\u00fct)"", ""a photo of Salix alba, a plant in the family Salicaceae"", ""a close-up photo of Salix alba, a plant in the family Salicaceae""]"
1356117,Salvia microphylla,Baby sage,16,"[""a photo of Salvia microphylla"", ""a close-up photo of Salvia microphylla"", ""a wild plant of species Salvia microphylla"", ""a photo of Baby sage"", ""a close-up photo of Baby sage"", ""a wild plant called Baby sage"", ""a photo of Blackcurrant sage"", ""a close-up photo of Blackcurrant sage"", ""a wild plant called Blackcurrant sage"", ""a photo of Graham's sage"", ""a close-up photo of Graham's sage"", ""a wild plant called Graham's sage"", ""a photo of Salvia microphylla (Baby sage)"", ""a close-up photo of Salvia microphylla (Baby sage)"", ""a photo of Salvia microphylla, a plant in the family Lamiaceae"", ""a close-up photo of Salvia microphylla, a plant in the family Lamiaceae""]"
1360318,Prunus cerasus,Amarelle cherry,13,"[""a photo of Prunus cerasus"", ""a close-up photo of Prunus cerasus"", ""a wild plant of species Prunus cerasus"", ""a photo of Amarelle cherry"", ""a close-up photo of Amarelle cherry"", ""a wild plant called Amarelle cherry"", ""a photo of Dwarf cherry"", ""a close-up photo of Dwarf cherry"", ""a wild plant called Dwarf cherry"", ""a photo of Prunus cerasus (Amarelle cherry)"", ""a close-up photo of Prunus cerasus (Amarelle cherry)"", ""a photo of Prunus cerasus, a plant in the family Rosaceae"", ""a close-up photo of Prunus cerasus, a plant in the family Rosaceae""]"
