species_id,canonical_scientific,primary_common,n_prompts,prompts
1396710,Taxus baccata,Canada yew,3,"[""a photo of Taxus baccata"", ""a close-up photo of Taxus baccata"", ""a wild plant of species Taxus baccata""]"
1356382,Dryopteris filix-mas,Common male fern,3,"[""a photo of Dryopteris filix-mas"", ""a close-up photo of Dryopteris filix-mas"", ""a wild plant of species Dryopteris filix-mas""]"
1359825,Roemeria hybrida,Violet horned-poppy,3,"[""a photo of Roemeria hybrida"", ""a close-up photo of Roemeria hybrida"", ""a wild plant of species Roemeria hybrida""]"
1360335,Rosa corymbifera,,3,"[""a photo of Rosa corymbifera"", ""a close-up photo of Rosa corymbifera"", ""a wild plant of species Rosa corymbifera""]"
1363993,Potentilla reptans,Creeping cinquefoil,3,"[""a photo of Potentilla reptans"", ""a close-up photo of Potentilla reptans"", ""a wild plant of species Potentilla reptans""]"
1361747,Saponaria ocymoides,Rock soapwort,3,"[""a photo of Saponaria ocymoides"", ""a close-up photo of Saponaria ocymoides"", ""a wild plant of species Saponaria ocymoides""]"
1356079,Rumex crispus,Curled dock,3,"[""a photo of Rumex crispus"", ""a close-up photo of Rumex crispus"", ""a wild plant of species Rumex crispus""]"
1360450,Salix alba,Ak söğüt,3,"[""a photo of Salix alba"", ""a close-up photo of Salix alba"", ""a wild plant of species Salix alba""]"
1356117,Salvia microphylla,Baby sage,3,"[""a photo of Salvia microphylla"", ""a close-up photo of Salvia microphylla"", ""a wild plant of species Salvia microphylla""]"
1360318,Prunus cerasus,Amarelle cherry,3,"[""a photo of Prunus cerasus"", ""a close-up photo of Prunus cerasus"", ""a wild plant of species Prunus cerasus""]"
1360222,Ranunculus repens,Creeping buttercup,3,"[""a photo of Ranunculus repens"", ""a close-up photo of Ranunculus repens"", ""a wild plant of species Ranunculus repens""]"
1395765,Salix caprea,Goat willow,3,"[""a photo of Salix caprea"", ""a close-up photo of Salix caprea"", ""a wild plant of species Salix caprea""]"
1721637,Potentilla indica,False strawberry,3,"[""a photo of Potentilla indica"", ""a close-up photo of Potentilla indica"", ""a wild plant of species Potentilla indica""]"
1356257,Melilotus albus,Bokhara clover,3,"[""a photo of Melilotus albus"", ""a close-up photo of Melilotus albus"", ""a wild plant of species Melilotus albus""]"
1395193,Rhus typhina,Stag's-horn sumach,3,"[""a photo of Rhus typhina"", ""a close-up photo of Rhus typhina"", ""a wild plant of species Rhus typhina""]"
1356167,Solanum nigrum,Black nightshade,3,"[""a photo of Solanum nigrum"", ""a close-up photo of Solanum nigrum"", ""a wild plant of species Solanum nigrum""]"
1394924,Primula vulgaris,English primrose,3,"[""a photo of Primula vulgaris"", ""a close-up photo of Primula vulgaris"", ""a wild plant of species Primula vulgaris""]"
